complaint,department,category,subcategory,severity,priority,urgency
"No municipal water supply for the past 5 days in Gachibowli Flyover, residents facing severe crisis.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
Dead stray cattle carcass lying decaying near primary school gate in MG Road Metro Station.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
Open illegal borewell pit left uncovered in Kukatpally Housing Board vacant plot where small children play.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Electrical transformer caught fire with explosions near RTC Cross Roads market area.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Gigantic illegal garbage dump burning toxic plastic smoke choking residents near Banjara Hills Road No 12. Multiple residents have reported this problem.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Burning,HIGH,VERY HIGH,WITHIN 24 HOURS
Unsafe deep construction basement excavated without safety barricade or warning lights near Kukatpally Housing Board. Kindly take strict and swift civic action.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
Tarnaka Tarnaka signal కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. The municipal corporation needs to inspect and resolve this immediately.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Encroachment on municipal park boundary by private builder fencing in Gachibowli Flyover.,Town Planning & Parks,Parks & Urban Planning,Park Encroachment,MEDIUM,MEDIUM,WITHIN 7 DAYS
Madhapur Police Station junction మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే. Danger to public health and safety.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
"Drinking water pipe burst near Ameerpet Center, thousands of liters of clean water flooding road. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Drinking water pipe burst near Gachibowli Flyover, thousands of liters of clean water flooding road.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
Pothole on main road near Secunderabad Railway Station causing vehicle damage and traffic congestion.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
పార్కులో పిల్లల ఆట స్థలంలో పరికరాలు విరిగిపోయి ప్రమాదకరంగా ఉన్నాయి Banjara Hills Road No 12 లో. Please send inspection team immediately.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Dead stray cattle carcass lying decaying near primary school gate in Koti Women's College.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Jubilee Hills Check Post. This has become an urgent public hazard.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Chemical tanker overturned leaking inflammable liquid on bypass road near Gachibowli Flyover. Multiple residents have reported this problem.,Fire & Emergency Services,Fire & Disaster,Chemical Spill,CRITICAL,CRITICAL,IMMEDIATE
Hitech City Mindspace మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. Kindly take strict and swift civic action.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Illegal encroachments blocking emergency fire tender access lane in Secunderabad Railway Station market. Danger to public health and safety.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
"Deep open manhole without cover near school in Koti Women's College, immediate risk of children falling in. Situation is deteriorating quickly.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Illegal encroachments blocking emergency fire tender access lane in Lingampally Market market. This has become an urgent public hazard.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Gachibowli Flyover.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
"Drinking water pipe burst near Madhapur Police Station junction, thousands of liters of clean water flooding road.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Deep open manhole without cover near school in Gachibowli Flyover, immediate risk of children falling in. This has become an urgent public hazard.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near RTC Cross Roads.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Dilsukhnagar Bus Depot కే పాస్ కచరే కా ఢేర్ లగా హై ఔర్ బీమారియాన్ ఫైల్ రహి హై. This has become an urgent public hazard.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Banjara Hills Road No 12 లో, ప్రజలు రోగాల బారిన పడుతున్నారు. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
చెత్త కుప్పలు పేరుకుపోయి దుర్వాసన వస్తోంది Tarnaka Tarnaka signal లో వ్యాధులు ప్రబలుతున్నాయి. Kindly take strict and swift civic action.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Hitech City Mindspace కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Exposed electric meter junction box with bare sparking wires near park in Tarnaka Tarnaka signal.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
"Speed breaker not painted with reflective lines near Charminar Main Bazaar, causing dangerous vehicle jumps.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
"Speed breaker not painted with reflective lines near Banjara Hills Road No 12, causing dangerous vehicle jumps.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
Hazardous biomedical hospital syringes and infected waste dumped openly in Hitech City Mindspace plot. Situation is deteriorating quickly.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Dead stray cattle carcass lying decaying near primary school gate in Charminar Main Bazaar.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Begumpet Airport Road.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Ameerpet Center కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. Multiple residents have reported this problem.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Electric pole tilted dangerously at 45 degrees over residential gate in Begumpet Airport Road. Pedestrians and daily commuters are suffering badly.,Electricity & Power,Power Infrastructure,Tilted Electric Pole,HIGH,HIGH,WITHIN 24 HOURS
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Mehdipatnam Bus Stop చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Pedestrians and daily commuters are suffering badly.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
Hitech City Mindspace మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Jubilee Hills Check Post కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. Multiple residents have reported this problem.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
"Nagole X Roads లోని అపార్ట్‌మెంట్‌లో పెద్ద ఎత్తున మంటలు చెలరేగాయి, ప్రజలు చిక్కుకుపోయారు సహాయం కావాలి.",Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Kukatpally Housing Board.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
Massive garbage overflow uncollected for 10 days outside vegetable market in Ameerpet Center.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Nagole X Roads వద్ద తక్షణమే తొలగించాలి.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Abandoned rusty vehicle loaded with scrap blocking bus bay near Koti Women's College. This has become an urgent public hazard.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Gachibowli Flyover వద్ద తక్షణమే తొలగించాలి.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
"Deep open manhole without cover near school in Tarnaka Tarnaka signal, immediate risk of children falling in. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Open Manhole,CRITICAL,CRITICAL,IMMEDIATE
Alwal Main Road మే ఖులా బోర్వెల్ గడ్డా బచ్చో కే ఖేల్నే కి జగహ్ పర్ హై తురంత్ బంద్ కియా జాయే. Pedestrians and daily commuters are suffering badly.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Massive garbage overflow uncollected for 10 days outside vegetable market in Ameerpet Center. Situation is deteriorating quickly.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Hazardous biomedical hospital syringes and infected waste dumped openly in Tarnaka Tarnaka signal plot. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
"No municipal water supply for the past 5 days in Nagole X Roads, residents facing severe crisis.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
"Drinking water pipe burst near Dilsukhnagar Bus Depot, thousands of liters of clean water flooding road.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
Commercial LPG gas cylinder warehouse leakage with heavy gas smell spreading in RTC Cross Roads. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
ట్రాఫిక్ సిగ్నల్ పనిచేయడం లేదు Madhapur Police Station junction చౌరస్తాలో నిత్యం ప్రమాదాలు జరుగుతున్నాయి. Situation is deteriorating quickly.,Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
"No municipal water supply for the past 5 days in Uppal Ring Road, residents facing severe crisis. Danger to public health and safety.",Water Supply & Sewerage,Water & Drainage,Water Shortage,HIGH,HIGH,WITHIN 24 HOURS
Major commercial building fire raging on 3rd floor with people trapped inside at Madhapur Police Station junction. Kindly take strict and swift civic action.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
Low water pressure in municipal pipeline near Charminar Main Bazaar.,Water Supply & Sewerage,Water & Drainage,Low Pressure,LOW,LOW,ROUTINE
Commercial LPG gas cylinder warehouse leakage with heavy gas smell spreading in Kukatpally Housing Board. Please send inspection team immediately.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Illegal commercial billboard hoarding erected without permit hanging dangerously in Lingampally Market. Kindly take strict and swift civic action.,Town Planning & Parks,Parks & Urban Planning,Illegal Hoarding,HIGH,HIGH,WITHIN 24 HOURS
Complete blackout in Secunderabad Railway Station sector affecting dialysis and oxygen patient homes.,Electricity & Power,Power Infrastructure,Power Outage,HIGH,VERY HIGH,IMMEDIATE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Alwal Main Road.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది RTC Cross Roads లో, ప్రజలు రోగాల బారిన పడుతున్నారు. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"Dangerous crater-sized road collapse on flyover near Gachibowli Flyover, vehicles at extreme risk of falling. Kindly take strict and swift civic action.",Roads & Infrastructure,Road Maintenance,Road Collapse,CRITICAL,CRITICAL,IMMEDIATE
"Drinking water pipe burst near Hitech City Mindspace, thousands of liters of clean water flooding road. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
Secunderabad Railway Station కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి. This has become an urgent public hazard.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Ameerpet Center వద్ద తక్షణమే తొలగించాలి.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Exposed electric meter junction box with bare sparking wires near park in Nagole X Roads. Pedestrians and daily commuters are suffering badly.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
Main road divider broken and sharp metal protruding into traffic lane near Alwal Main Road.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
"Drinking water pipe burst near Tarnaka Tarnaka signal, thousands of liters of clean water flooding road. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Streetlights not working for 2 weeks in RTC Cross Roads, complete dark stretch unsafe for women. Please send inspection team immediately.",Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,HIGH,WITHIN 3 DAYS
Street name boards missing or damaged throughout Begumpet Airport Road residential layout.,Town Planning & Parks,Parks & Urban Planning,Signage Damage,LOW,LOW,ROUTINE
High voltage 11kV live electrical wire snapped and lying sparking on flooded road near Charminar Main Bazaar.,Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
Massive deep pothole near Alwal Main Road where two bikers slipped and got injured. Situation is deteriorating quickly.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Abandoned rusty vehicle loaded with scrap blocking bus bay near Madhapur Police Station junction. Kindly take strict and swift civic action.,Public Safety & Police,Civic Safety & Law,Abandoned Vehicle,LOW,LOW,WITHIN 7 DAYS
"Nagole X Roads లోని అపార్ట్‌మెంట్‌లో పెద్ద ఎత్తున మంటలు చెలరేగాయి, ప్రజలు చిక్కుకుపోయారు సహాయం కావాలి. The municipal corporation needs to inspect and resolve this immediately.",Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Banjara Hills Road No 12 లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"Massive old banyan tree uprooted in storm, crushed two cars and blocked emergency exit at Madhapur Police Station junction.",Fire & Emergency Services,Fire & Disaster,Fallen Tree Hazard,HIGH,VERY HIGH,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Tarnaka Tarnaka signal లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Hazardous biomedical hospital syringes and infected waste dumped openly in Jubilee Hills Check Post plot. The municipal corporation needs to inspect and resolve this immediately.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
"Sewage manhole overflowing on street near Charminar Main Bazaar, black wastewater entering residences.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Charminar Main Bazaar. Please send inspection team immediately.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Complete blackout in Charminar Main Bazaar sector affecting dialysis and oxygen patient homes. Danger to public health and safety.,Electricity & Power,Power Infrastructure,Power Outage,HIGH,VERY HIGH,IMMEDIATE
"Traffic signal non-functional at high-speed intersection in Nagole X Roads, regular near-fatal crashes.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
"Contaminated brown foul-smelling tap water supplied to households near Jubilee Hills Check Post, children falling sick. The municipal corporation needs to inspect and resolve this immediately.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Madhapur Police Station junction కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Gachibowli Flyover కే పాస్ కచరే కా ఢేర్ లగా హై ఔర్ బీమారియాన్ ఫైల్ రహి హై. Please send inspection team immediately.,Public Health & Sanitation,Sanitation & Hygiene,Garbage Overflow,MEDIUM,MEDIUM,WITHIN 3 DAYS
Dilapidated 3-story residential building structural crack with falling wall debris at Ameerpet Center.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
Massive deep pothole near Ameerpet Center where two bikers slipped and got injured. Please send inspection team immediately.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
"Drinking water pipe burst near Secunderabad Railway Station, thousands of liters of clean water flooding road. Kindly take strict and swift civic action.",Water Supply & Sewerage,Water & Drainage,Pipeline Burst,HIGH,HIGH,WITHIN 24 HOURS
"Contaminated brown foul-smelling tap water supplied to households near Nagole X Roads, children falling sick.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Pothole on main road near Ameerpet Center causing vehicle damage and traffic congestion. Pedestrians and daily commuters are suffering badly.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Open illegal borewell pit left uncovered in Jubilee Hills Check Post vacant plot where small children play.,Public Safety & Police,Civic Safety & Law,Open Borewell Pit,CRITICAL,CRITICAL,IMMEDIATE
Hazardous biomedical hospital syringes and infected waste dumped openly in Mehdipatnam Bus Stop plot. Multiple residents have reported this problem.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Complete blackout in Banjara Hills Road No 12 sector affecting dialysis and oxygen patient homes. This has become an urgent public hazard.,Electricity & Power,Power Infrastructure,Power Outage,HIGH,VERY HIGH,IMMEDIATE
"Speed breaker not painted with reflective lines near Alwal Main Road, causing dangerous vehicle jumps. Situation is deteriorating quickly.",Roads & Infrastructure,Road Maintenance,Speed Breaker,LOW,LOW,WITHIN 7 DAYS
Massive deep pothole near RTC Cross Roads where two bikers slipped and got injured.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Electrical transformer caught fire with explosions near Ameerpet Center market area. Danger to public health and safety.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
"Contaminated brown foul-smelling tap water supplied to households near MG Road Metro Station, children falling sick. Please send inspection team immediately.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
"డ్రింకింగ్ వాటర్ లో మురికి నీరు కలిసి వస్తోంది Tarnaka Tarnaka signal లో, ప్రజలు రోగాల బారిన పడుతున్నారు.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Exposed electric meter junction box with bare sparking wires near park in Dilsukhnagar Bus Depot.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
"Traffic signal non-functional at high-speed intersection in Madhapur Police Station junction, regular near-fatal crashes. Situation is deteriorating quickly.",Public Safety & Police,Civic Safety & Law,Traffic Signal Failure,HIGH,VERY HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Charminar Main Bazaar. This has become an urgent public hazard.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
"రోడ్డుపై పెద్ద గుంతలు పడ్డాయి Dilsukhnagar Bus Depot వద్ద, వాహనాలు తిరగడం కష్టంగా ఉంది.",Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
Chemical tanker overturned leaking inflammable liquid on bypass road near Banjara Hills Road No 12.,Fire & Emergency Services,Fire & Disaster,Chemical Spill,CRITICAL,CRITICAL,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near RTC Cross Roads. Multiple residents have reported this problem.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Dead stray cattle carcass lying decaying near primary school gate in Lingampally Market.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Sewage manhole overflowing on street near Tarnaka Tarnaka signal, black wastewater entering residences.",Water Supply & Sewerage,Water & Drainage,Sewage Overflow,HIGH,HIGH,WITHIN 24 HOURS
Unsafe deep construction basement excavated without safety barricade or warning lights near Dilsukhnagar Bus Depot. Kindly take strict and swift civic action.,Public Safety & Police,Civic Safety & Law,Unsafe Construction,HIGH,HIGH,WITHIN 24 HOURS
Exposed electric meter junction box with bare sparking wires near park in Ameerpet Center.,Electricity & Power,Power Infrastructure,Exposed Meter Box,HIGH,HIGH,WITHIN 24 HOURS
"Public toilet facility choked, leaking sewage onto pavement near Begumpet Airport Road. Situation is deteriorating quickly.",Public Health & Sanitation,Sanitation & Hygiene,Public Toilet Blockage,MEDIUM,MEDIUM,WITHIN 3 DAYS
Illegal commercial billboard hoarding erected without permit hanging dangerously in MG Road Metro Station. Multiple residents have reported this problem.,Town Planning & Parks,Parks & Urban Planning,Illegal Hoarding,HIGH,HIGH,WITHIN 24 HOURS
Public park swing and slide sets rusted with sharp jagged edges injuring children in Gachibowli Flyover.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
Uppal Ring Road కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై. The municipal corporation needs to inspect and resolve this immediately.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Street name boards missing or damaged throughout Jubilee Hills Check Post residential layout.,Town Planning & Parks,Parks & Urban Planning,Signage Damage,LOW,LOW,ROUTINE
Dead stray cattle carcass lying decaying near primary school gate in Hitech City Mindspace.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
"Streetlights not working for 2 weeks in Gachibowli Flyover, complete dark stretch unsafe for women.",Electricity & Power,Power Infrastructure,Streetlight Outage,MEDIUM,HIGH,WITHIN 3 DAYS
Begumpet Airport Road కే పాస్ ట్రాన్స్‌ఫార్మర్ మే ఆగ్ లగ్ గయీ హై బడా ధమాకా హో సక్తా హై.,Electricity & Power,Power Infrastructure,Transformer Fire,CRITICAL,CRITICAL,IMMEDIATE
Dead stray cattle carcass lying decaying near primary school gate in Koti Women's College. Danger to public health and safety.,Public Health & Sanitation,Sanitation & Hygiene,Animal Carcass,HIGH,HIGH,WITHIN 24 HOURS
Dilapidated 3-story residential building structural crack with falling wall debris at Banjara Hills Road No 12.,Fire & Emergency Services,Fire & Disaster,Building Collapse Threat,CRITICAL,CRITICAL,IMMEDIATE
Secunderabad Railway Station కే పాస్ ఎల్‌పీజీ సిలిండర్ గోదామ్ సే గ్యాస్ లీకేజ్ హో రహా హై భయంకర పరిస్థితి.,Fire & Emergency Services,Fire & Disaster,Gas Leakage,CRITICAL,CRITICAL,IMMEDIATE
Major commercial building fire raging on 3rd floor with people trapped inside at Koti Women's College. The municipal corporation needs to inspect and resolve this immediately.,Fire & Emergency Services,Fire & Disaster,Building Fire,CRITICAL,CRITICAL,IMMEDIATE
ఆసుపత్రి వ్యర్థాలు బయోమెడికల్ వేస్ట్ రోడ్డుపై పడేశారు Alwal Main Road వద్ద తక్షణమే తొలగించాలి. Danger to public health and safety.,Public Health & Sanitation,Sanitation & Hygiene,Biomedical Waste,CRITICAL,CRITICAL,IMMEDIATE
Main road divider broken and sharp metal protruding into traffic lane near Mehdipatnam Bus Stop. This has become an urgent public hazard.,Roads & Infrastructure,Road Maintenance,Road Divider,HIGH,HIGH,WITHIN 24 HOURS
Illegal encroachments blocking emergency fire tender access lane in Jubilee Hills Check Post market.,Public Safety & Police,Civic Safety & Law,Encroachment,MEDIUM,HIGH,WITHIN 3 DAYS
Pothole on main road near Kukatpally Housing Board causing vehicle damage and traffic congestion. Please send inspection team immediately.,Roads & Infrastructure,Road Maintenance,Potholes,MEDIUM,MEDIUM,WITHIN 3 DAYS
"కరెంట్ వైర్ తెగి రోడ్డుపై పడింది Alwal Main Road లో, నిప్పులు చెరుగుతున్నాయి ప్రాణాపాయం ఉంది. Multiple residents have reported this problem.",Electricity & Power,Power Infrastructure,Live Wire Hazard,CRITICAL,CRITICAL,IMMEDIATE
RTC Cross Roads కే పాస్ సడక్ పర్ గహరే గడ్డే హో గయే హై జిస్సే హాద్సే హో రహే హై. Pedestrians and daily commuters are suffering badly.,Roads & Infrastructure,Road Maintenance,Potholes,HIGH,HIGH,WITHIN 24 HOURS
Public park swing and slide sets rusted with sharp jagged edges injuring children in Gachibowli Flyover.,Town Planning & Parks,Parks & Urban Planning,Damaged Playground,MEDIUM,MEDIUM,WITHIN 7 DAYS
"Contaminated brown foul-smelling tap water supplied to households near Alwal Main Road, children falling sick. Danger to public health and safety.",Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
Kukatpally Housing Board మే నల్ సే గందా బద్బూదార్ పానీ ఆ రహా హై ఔర్ లోగ్ బీమార్ పడ్ రహే హై. Please send inspection team immediately.,Water Supply & Sewerage,Water & Drainage,Contaminated Water,CRITICAL,CRITICAL,IMMEDIATE
